"inc_borough","cong_dist","al_source_desc","al_index_desc","highest_al_level","inc_class_group","inc_resp_min_qy","engines_assigned","ladders_assigned","others_units_assigned","emergency_min_qy","day_type","working_hour","time_of_day","tua_is_one"
"Brooklyn","7","EMS","Initial Alarm","First Alarm","M_E",6.31666666666667,1,0,0,37.8666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Queens","6","EMS-911","Initial Alarm","First Alarm","M_E",5.7,1,0,0,12.2,"Weekday","TRUE","Afternoon","TRUE"
"Bronx","14","Others","Initial Alarm","First Alarm","NonM_E",10.55,0,0,2,12.55,"Weekday","TRUE","Afternoon","FALSE"
"Queens","5","EMS","Initial Alarm","First Alarm","M_E",6.18333333333333,1,0,0,6.68333333333333,"Weekday","TRUE","Afternoon","TRUE"
"Staten Island","11","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.36666666666667,1,1,0,8.11666666666667,"Weekday","TRUE","Afternoon","FALSE"
"Queens","7","EMS-911","Initial Alarm","First Alarm","M_E",4.85,1,0,0,13.55,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",5.21666666666667,0,1,0,9.56666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Bronx","13","EMS-911","Initial Alarm","First Alarm","M_E",8.01666666666667,1,0,0,28.8,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","10","PHONE","Initial Alarm","First Alarm","NonM_E",4.3,2,1,1,22.7166666666667,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",8.11666666666667,0,1,0,7.91666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Bronx","14","PHONE","Initial Alarm","First Alarm","NonM_E",9.81666666666667,0,1,0,12.4333333333333,"Weekday","TRUE","Afternoon","TRUE"
"Brooklyn","10","EMS-911","Initial Alarm","First Alarm","M_E",5.65,1,0,0,11.5833333333333,"Weekday","TRUE","Afternoon","TRUE"
